	UMAP1	UMAP2
medtr_mappings/paired/SRR5721259/abundance	3.485022	-0.5412835
medtr_mappings/paired/SRR2016010/abundance	9.778235	-0.22248147
medtr_mappings/paired/SRR5740873/abundance	6.56893	-0.95737875
medtr_mappings/paired/SRR949240/abundance	6.7299643	0.3363789
medtr_mappings/paired/SRR5598853/abundance	3.7361193	-1.1134427
medtr_mappings/paired/SRR5721263/abundance	3.944283	-0.065604925
medtr_mappings/paired/SRR7772261/abundance	-0.7669771	1.5915838
medtr_mappings/paired/SRR5721245/abundance	-3.8179002	1.7131371
medtr_mappings/paired/SRR5732305/abundance	-2.5435758	2.074097
medtr_mappings/paired/SRR2016017/abundance	9.029118	0.44048023
medtr_mappings/paired/SRR7738214/abundance	-6.7620783	3.1562808
medtr_mappings/paired/ERR2193162/abundance	5.7024536	-1.641622
medtr_mappings/paired/SRR7822202/abundance	4.061919	-0.59659845
medtr_mappings/paired/SRR5721255/abundance	-5.116089	2.2763195
medtr_mappings/paired/SRR5740878/abundance	3.208443	0.1873538
medtr_mappings/paired/SRR949249/abundance	6.887134	-0.90144503
medtr_mappings/paired/SRR8093919/abundance	4.1333456	-0.9450193
medtr_mappings/paired/SRR6283629/abundance	3.0763624	-0.18451704
medtr_mappings/paired/SRR7738220/abundance	-7.496097	3.0970635
medtr_mappings/paired/SRR5721279/abundance	4.082901	-0.8805496
medtr_mappings/paired/SRR5217279/abundance	3.3032885	0.0593469
medtr_mappings/paired/SRR5721243/abundance	3.762179	-0.31730333
medtr_mappings/paired/SRR5740864/abundance	7.199828	-1.205207
medtr_mappings/paired/SRR5740858/abundance	4.4164515	0.036911823
medtr_mappings/paired/SRR949250/abundance	6.9298973	-0.99091744
medtr_mappings/paired/SRR949248/abundance	6.682813	-0.90146273
medtr_mappings/paired/SRR1523072/abundance	0.6345734	-13.013567
medtr_mappings/paired/SRR949269/abundance	6.8581705	0.3288679
medtr_mappings/paired/ERR1830533/abundance	3.1112447	-0.15196022
medtr_mappings/paired/SRR2015976/abundance	9.163404	-0.14106785
medtr_mappings/paired/SRR2016018/abundance	9.002992	0.41328043
medtr_mappings/paired/SRR1975018/abundance	5.2030168	-2.0132482
medtr_mappings/paired/SRR5721246/abundance	-4.4670153	2.1921337
medtr_mappings/paired/SRR8093921/abundance	4.0493975	-0.92307633
medtr_mappings/paired/SRR8093913/abundance	4.1981726	-0.9874377
medtr_mappings/paired/SRR2890195/abundance	4.2032113	-0.928679
medtr_mappings/paired/SRR5721291/abundance	-4.318654	1.7665683
medtr_mappings/paired/SRR504355/abundance	-1.9611936	2.3028476
medtr_mappings/paired/SRR1979259/abundance	3.6487749	-0.15846145
medtr_mappings/paired/SRR5721234/abundance	-4.6784277	2.1661313
medtr_mappings/paired/SRR6979195/abundance	-0.91600734	1.8849431
medtr_mappings/paired/SRR5809680/abundance	0.18036367	-13.285936
medtr_mappings/paired/SRR2015987/abundance	9.880822	-0.5716597
medtr_mappings/paired/SRR5721272/abundance	-3.570342	1.5202652
medtr_mappings/paired/SRR5217272/abundance	3.7154586	-0.26808485
medtr_mappings/paired/SRR3476741/abundance	4.473099	-0.7101838
medtr_mappings/paired/SRR5740866/abundance	6.918068	-1.0876888
medtr_mappings/paired/SRR7738225/abundance	-7.4578557	3.111517
medtr_mappings/paired/SRR5217274/abundance	3.3630323	0.110846244
medtr_mappings/paired/SRR1979260/abundance	3.261698	-0.29836497
medtr_mappings/paired/ERR1830515/abundance	3.4512231	-0.40550992
medtr_mappings/paired/SRR949245/abundance	6.4866714	0.15718117
medtr_mappings/paired/SRR2060979/abundance	-1.5031987	1.9026431
medtr_mappings/paired/SRR949228/abundance	6.5843773	0.1858328
medtr_mappings/paired/SRR2015977/abundance	9.503947	0.10673572
medtr_mappings/paired/SRR2910679/abundance	6.358764	-0.8193718
medtr_mappings/paired/SRR7772264/abundance	-1.7760708	2.558579
medtr_mappings/paired/SRR5740874/abundance	6.881856	-0.937782
medtr_mappings/paired/SRR2016016/abundance	9.070424	0.45378605
medtr_mappings/paired/SRR6283649/abundance	2.1197677	0.14069477
medtr_mappings/paired/SRR5217263/abundance	3.1150734	0.05262248
medtr_mappings/paired/SRR5740865/abundance	7.054288	-1.0568169
medtr_mappings/paired/SRR5740868/abundance	4.246191	-0.32046977
medtr_mappings/paired/SRR1979304/abundance	5.706991	1.6334321
medtr_mappings/paired/SRR7822201/abundance	4.193785	-0.6782484
medtr_mappings/paired/SRR8093910/abundance	4.626456	-0.19813322
medtr_mappings/paired/SRR2910686/abundance	6.6907935	-0.7909649
medtr_mappings/paired/SRR7738222/abundance	-7.2917714	3.194777
medtr_mappings/paired/SRR4409156/abundance	-1.0529501	0.91928965
medtr_mappings/paired/SRR2015979/abundance	9.517868	0.33516496
medtr_mappings/paired/SRR2060982/abundance	-1.6962491	2.0596435
medtr_mappings/paired/SRR949238/abundance	6.612785	0.16356425
medtr_mappings/paired/SRR6283634/abundance	7.566931	-0.7478662
